date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
10-18,29.3,30.38,28.04,36.5,28.58,29.66,26.96,26.6,35.96,30.92,27.32,41.18,28.58,33.62,47.48,29.84,41.36,23.54,25.52,44.24,46.4,36.32,32.0,31.64,26.96,42.62,42.08,29.66,41.9,37.22,28.4,32.54,39.92,43.34,42.98,26.96,29.228,37.49,43.124,23.54,31.82,47.48
10-19,35.96,23.18,30.92,38.66,26.06,30.92,20.66,21.56,35.96,28.94,30.2,37.22,33.62,35.06,48.56,28.76,43.34,31.1,33.8,37.94,36.14,38.84,36.32,37.94,31.64,40.82,38.48,28.4,42.62,36.68,26.78,35.78,35.06,42.44,44.6,26.276,30.92,37.292,41.954,20.66,35.42,48.56
10-20,40.82,15.08,33.44,39.92,22.46,32.9,32.18,12.2,30.56,28.4,37.94,36.68,33.98,35.06,46.76,32.9,36.68,28.4,25.7,40.64,28.94,39.56,36.68,37.04,31.46,43.7,35.96,30.38,34.52,39.92,24.44,32.72,35.42,44.24,44.96,24.818,31.37,36.716,40.766,12.2,34.25,46.76
10-21,34.52,22.28,35.6,43.16,,26.78,27.32,15.44,32.54,37.22,36.68,33.08,35.06,34.88,47.66,31.28,34.88,21.56,22.46,22.82,28.22,40.64,37.04,33.98,34.34,36.68,36.32,37.94,24.8,40.1,25.7,29.84,37.76,41.54,42.08,22.532,29.192,36.68,40.532,15.44,34.52,47.66
10-22,35.24,25.52,31.28,35.78,34.7,24.26,15.26,20.3,34.34,37.22,38.66,29.3,34.16,21.92,47.48,28.4,38.3,22.82,29.12,21.74,31.28,39.92,38.66,32.36,34.88,33.62,37.04,39.2,32.54,39.02,29.84,11.12,39.92,32.54,41.18,21.794,29.282,35.906,39.146,11.12,33.08,47.48
10-23,36.68,23.0,22.46,35.78,36.32,26.96,14.36,22.46,28.04,35.24,38.84,34.7,26.42,25.16,43.7,29.66,40.1,27.32,33.08,34.34,29.3,37.04,40.64,25.52,39.38,40.46,35.24,38.66,31.28,37.76,21.74,13.28,32.72,23.18,37.04,22.46,26.906,36.356,39.884,13.28,32.9,43.7
10-24,35.42,27.68,16.88,41.36,39.56,26.78,24.8,24.44,16.16,36.14,40.64,37.4,18.68,28.22,27.32,22.82,41.54,32.9,40.82,33.44,28.4,33.98,37.22,17.78,37.04,43.52,37.22,38.12,34.7,37.04,21.38,11.3,34.16,22.64,33.62,18.05,26.582,37.058,40.766,11.3,33.71,43.52
10-25,32.9,37.58,21.02,36.86,26.78,29.66,27.86,21.56,18.32,35.6,42.08,34.88,22.82,24.08,30.74,22.64,42.8,26.42,43.52,37.22,22.1,25.16,19.4,15.62,37.4,48.02,39.02,38.84,39.92,35.96,33.08,-4.72,40.46,24.98,31.82,19.886,24.89,37.238,41.594,-4.72,31.82,48.02
10-26,27.14,37.76,27.5,38.48,,36.14,28.76,11.66,28.04,36.5,44.96,35.78,30.92,23.18,40.1,27.14,37.76,23.9,30.38,35.24,20.84,22.28,17.96,18.86,37.22,30.56,33.8,41.72,28.4,37.22,19.58,11.66,30.02,23.54,18.14,19.004,25.844,35.924,38.336,11.66,30.02,44.96
10-27,24.62,33.62,19.04,33.8,28.94,35.78,24.98,17.78,29.48,39.56,33.98,36.32,43.34,27.86,36.86,33.08,36.32,30.2,30.02,40.46,24.44,22.46,23.9,24.44,37.22,24.98,29.12,46.04,34.7,33.62,3.74,24.44,29.3,22.28,18.68,22.334,24.944,34.052,38.858,3.74,29.75,46.04
10-28,19.4,42.44,5.0,32.18,23.72,25.34,25.52,26.24,28.94,34.52,34.16,36.14,41.36,23.54,36.14,32.36,33.98,32.18,37.76,45.5,14.9,26.6,27.5,33.26,24.62,25.52,28.22,38.66,38.66,41.9,2.84,29.84,33.44,23.54,11.3,20.642,25.52,34.196,40.55,2.84,31.01,45.5
10-29,15.26,38.48,0.5,31.82,8.96,17.78,22.28,24.98,30.74,27.5,27.86,34.34,41.9,9.32,23.18,26.78,30.2,34.16,41.72,38.48,14.72,35.96,32.9,37.58,27.5,31.28,29.84,36.5,30.02,30.74,-4.18,32.18,40.46,25.52,9.14,10.94,25.466,33.026,38.48,-4.18,30.11,41.9
10-30,16.88,40.28,2.48,29.12,24.62,16.16,15.44,18.5,33.26,27.86,31.46,34.16,42.98,4.1,7.52,26.6,24.8,12.74,30.2,41.36,27.86,35.42,35.06,39.2,29.12,34.7,30.02,39.74,17.78,24.08,6.26,37.4,33.26,26.96,15.44,9.086,23.522,33.35,39.578,2.48,28.49,42.98
10-31,11.84,37.58,10.58,24.26,26.42,21.2,12.38,17.24,27.68,29.3,37.58,32.0,33.08,9.14,6.62,17.78,27.68,10.22,25.16,38.66,31.28,32.54,33.8,37.22,27.86,37.22,35.42,30.74,26.06,23.72,14.72,32.0,24.26,33.26,21.92,10.958,23.468,32.054,37.22,6.62,27.68,38.66
11-01,8.6,23.72,-4.0,23.9,17.42,26.78,-3.28,26.42,23.18,29.48,19.58,22.82,30.38,9.5,12.38,10.76,37.58,14.72,30.2,39.56,32.54,31.64,18.32,38.66,27.86,38.3,35.6,31.28,26.24,31.46,16.88,32.9,28.22,34.88,27.5,9.878,19.454,31.298,36.986,-4.0,26.6,39.56
